Word,Part of Speech,Definition,Grammar information:
pesuktce',noun,milk,
pesuktce' niya',noun,"butter, cream",
pesuktce' niya' kallu',noun,cheese,
pesuktce' niya' uktce',noun,buttermilk,
pesuktce' niya' waláha',noun,buttermilk,
pesuktce' pákana' niya',noun,cream,
pesuktce' waláha',noun,"clabbered milk, curdled milk",
petceffeh,verb, to squeeze/squish once,"transitive, singular"
petcéletceh,verb," to squish (bugs etc) repeatedly, squeeze (pimples etc)","transitive, plural"
pẽte',noun,mouse,
puákátce',noun,"ripple, small wave",
pũfah,verb,"to blow (with the mouth, car horn, trumpet, etc), to spout (of a whale), to blow (something)",transitive
púkeni',noun,grandmother,
pukkú^leh,verb,num. ten,intransitive
pukkú^leh anná^leh,verb,num. sixty,intransitive
pukkú^leh dalhlhá^peh,verb,num. fifty,intransitive
pukkú^leh dúkuluh,verb,num. twenty,intransitive
pukkú^leh tcakká^leh,verb,num. ninety,intransitive
pukkú^leh tutctcé^nah,verb,num. thirty,intransitive
pukkú^leh ũdukuluh,verb,num. seventy,intransitive
pukkú^leh ũdutctcé^nah,verb,num. eighty,intransitive
pukkú^leh ustah,verb,num. forty,intransitive
pukpuke',noun,"scum ( on a river, etc), foam, suds, lather, froth",
pulheh,verb," to fold, bend several times","transitive, plural"
pulhulleh,verb,"to spark (of a fire, etc)",intransitive
pulhulletceh,verb,to make (something) spark,transitive
pulhúmah,verb, folded once,"stative, singular"
pulhummeh,verb," to fold (cloth, a tent, etc) once","transitive, singular"
pulhúmuah,verb, folded more than once,"stative, plural"
pulhúmuleh,verb," to fold, bend several things","transitive, plural"
pullah,verb,"must, to have to (do something), surely, certainly, only","stative, takes a complement"
punákaluh,verb,"to ask (someone), ask (a question), invite",transitive
punúla',noun,"cotton (plant, cloth)",
punúla' kallu',noun,rope,
punúla' kallu' use',noun,cord,
punúla' use',noun,thread (also punúse),
puseh,verb,"pulverized, ground fine",stative
pusétceh,verb,"to grind (cornmeal, etc) fine, pulverize, break up, till, plow",transitive
pusnáyo',noun,"master, owner (of an animal)",
pútah,verb,"to lend (something), borrow",transitive
putúleh,verb,to touch (someone or something) once,"transitive, singular"
sãfah,verb,"scraped, shaved",stative
sãffeh,verb,"to shave (a hog), scrape (a hide), peel (a pole, etc)",transitive
sahã^wah,verb,to snort continuously (of a deer),"intransitive, HN grade"
sáhaleh,verb,"to be frequent (of an action or condition), often, excessive, too much",stative
sákale',noun,"crappie, bass",
sakápah,verb,"to make a lot of noise (of a crowd, a bunch of kids, a flock of geese), make a racket",intransitive
sakba',noun,"arm, upper arm",Class II possession
sakbatenna',noun,"bobcat, wildcat",
sakẽle',noun,grasshopper,
sakkãhah,verb,"to knock (on a door) repeatedly, rap with the knuckles, thump (a watermelon)",
sakkeh,verb,"to catch up with, overtake",transitive
saktce',noun,crawfish,
sakte',noun,"steep bank (of a river), bluff, cliff",
sãkulu',noun,bald cypress,
saláhah,verb,"slow; to be slow, tardy",stative
saláhatceh,verb,"to slow down (a car, etc.), retard, impede, cause to go slow",transitive
salákatceh,verb,"to slide around, make a sliding sound",transitive
salakha',noun,liver,
salalleh,verb,"to slide, slip",intransitive
salalletceh,verb,"to drag (something), slide, cause to slip",transitive
salbu',noun,callous,
sále',noun,"carrier,",
sáleh,verb,"to carry (a baby, people, etc), haul (on the back of an animal or in a wagon - not in the arms), transport",transitive
salẽtak,noun,comb,
salũtake',noun,cricket,
sanah,verb,"twisted; to twist (or rope, etc), turn, kink, writhe",intransitive
sanahtce',noun,wing,
sanakha',noun,the upper part of the back between the shoulders,
sanáleh,verb,to oppose (but needs a marker in front),"intransitive, requires dative marker for the object"
sanáyah,verb,"crooked (of a tooth, etc), out of alignment; to be winding (of a road, etc), be crooked, leaning, lopsided","stative, singular"
sanáyúah,verb,"to twist, wind, wobble (of a trail, a duck, etc)",intransitive
sanáyukah,verb,"(two or more) to be crooked (of teeth, etc)","stative, plural"
sannih,verb,"to twist (a rope, etc), coil wrap around, screw, turn",transitive
sapu',noun,"hat, cap (from French)",
sápule',noun,"harness, burden",
sapúleh,verb,"to put on (a hat), wear (a hat)",transitive
sápulétceh,verb,to harness (horses),transitive
sapũtu',noun,mosquito,
satableh,verb,"to be bloated, swollen, constipated",stative
satáleh,verb,to swell,intransitive
satammeh,verb,"to rise (of dough, etc), inflate, swell",intransitive
satammetceh,verb,"to leaven (dough), make (dough) rise",transitive
satanni',noun,tick,
sátate',noun,Saturday,
Sãte',noun,Sunday,
sãte',noun,snake,
sãte' abaksa',noun,"chicken snake, black rat snake",
sãte' tcalhakwa',noun,copperhead,
sãte' tcukfe',noun,"ground rattelsnake, pygmy rattlesnake",
sãte' use' lũbu',noun,snake egg,
sãtelu',noun,rattlesnake (derived from sãte ullu,
sãwah,verb,to snort (as of a deer),
sawe',noun,raccoon,
sawwa',noun,"bush, underbrush",
sébleh,verb,"to stretch (a rubber band, etc), draw out, extend",transitive
sẽfah,verb,"unraveled (of fabric), drawn out; to unravel (of a sweater, etc)","intransitive, singular"
sẽffeh,verb,"to unravel (a thread), draw out","transitive, singular"
seha',noun,lint,
sehah,verb,to be unraveled,stative
sehẽkah,verb,"to neigh (of a horse), whinny, bray, whimper (of a dog), also sẽka",
sekalla',noun,beads,
sekalla' ennutce',noun,beaded necklace,
séke',noun,"buzzard, turkey vulture",
séke' dapa',noun,black buzzard (smaller buzzard with a short tail),
selah,verb,"dried; to dry, be dry, be dried (of a towel, skin, fruit, the earth, etc.)",stative
selákalak,noun,goose,
selátceh,verb,"to dry (fruit, meat, clothes, etc)",transitive
sẽleh,verb,"to pick out from (a hole, etc), pick (the teeth)",transitive
sélek,noun,silk,
seléleh,verb,"to dry (something), cure (meat)",transitive
selleh,verb,to comb (the hair),transitive
selũbes,noun,"spirit, soul",
selũbes ulettúpa',noun,"Holy Spirit, Holy Ghost",
selukwa',noun,"toad, a wart",
selup,noun,"ghost, spirit",
selupha',noun,lungs,
sémah,verb,"to adorn, decorate, trim (a christmas tree), dress up",transitive
semanúle',noun,Seminole,
semúhah,verb,"to be asleep (of one's arm, etc), tingle, be numb, to faint (from fear), be unable to move in a nightmare",stative
senap,noun,white ash tree,
senasbeh,verb,sticky; to be sticky,stative
seni',noun,sycamore,
senúa',noun,wrinkle (on the face),
senúfah,verb,"to be wrinkled (of hide, fabric, etc)",stative
senuk,noun,sand,
sépah,verb,"stretched; to stretch, be stretched (of a rubber band, etc)","stative, plural"
seppah,verb,"to boil down, evaporate, dry up, ebb, subside",intransitive
seppah,verb,"to go down (of a swelling), subside (of a flood, fever, etc), dissipate (of heat, etc), cool, to reduce (of a sauce), cook down",intransitive
septẽba',noun,September,
sepúkeni' áyása',noun,"place where the elderly live, nursing home, retirement home (new word)",
sepúkenih,verb,old (of a person or thing); to be old,stative
seta',noun,ribbon (older var. aseta);,
setah,verb,"to be tied (of a string, etc)",stative
setéleh,verb,"to bind, tie in a bundle, sheaf",transitive
seyapha walakse',noun,blueberry dumplings,
seyapha',noun,blueberry,
suah,verb,"rotten, rotten smelling (of a potato, something dead); to stink, reek (of something dead or rotten, rot, be rotten",stative
suba',noun,horse,
suba' aksubes faláya',noun,"mule, donkey",
suba' ayéna',noun,"mare, old mare",
suba' basúa',noun,zebra,
suba' dék,noun,mare,
suba' estkapále',noun,bridle bit (also essuba kapále),
suba' nákani',noun,stallion,
suba' ubak,noun,gelding,
suba' use',noun,"colt, foal",
subátah,verb,"to smoke (of a fire, etc)",intransitive
subúhelétceh,verb,to smoke (meat),transitive
subúle',noun,smoke,
subúleh,verb,"to be smoky (of a room, etc), filled with smoke, to smoke (of a fire), to be smoked",stative
subúta',noun,"steam, smoke",
sũfah,verb,"to come untied (of a knot, etc), come loose, come off (of a shoe, etc), slip off, come apart",intransitive
sũffeh,verb,"to remove, take off (clothing, a tire, tablecloth, saddle, etc)",transitive
sufúheleh,verb,"to swell, be puffy, be swollen (of an ankle, face, etc)",stative
suhbeh,verb,"to become evening (doing an action), all day long",intransitive
suhbetceh,verb,"to make it through the day, do all day",transitive
sukaffeh,verb,"to peel off ( a scab, bark), chip",transitive
sũkah,verb,"to suck, inhale, smoke (tobacco, etc)",transitive
sũkani',noun,ant,
sukatte',noun,frog,
sukbu',noun,blanket,
sukha',noun,"hog, swine",
sukha' anũpa',noun,"fable, story, tale, used for stories like ""Why rabbit has a short tail""",
sukha' ayéna',noun,sow,
sukha' bela',noun,"lard, hog fat, grease",
sukha' dék,noun,sow,
sukha' nákani',noun,boar,
sukha' nipe',noun,pork,
sukha' nipe' sela',noun,slat pork,
sukha' niya' subúhele',noun,bacon,
sukha' ubak,noun,"barrow, castrated hog",
sukha' use',noun,piglet,
sukhata',noun,opossum,
sukku',noun,muscadine,
sukkuh,verb,"to be thick (of hair, etc), coarse, dense",stative
sukse',noun,watermelon,
suktca',noun,"bag, sack, pocket, purse",
sũkuma',noun,"chiggers, red bugs",
súleh,verb,"to carry (wood, groceries) in the arms, to hug (someone), embrace",transitive
sũleh,verb,"to be holding (a baby, backpack, book, etc) in both arms, to carry (a baby in the womb), be pregnant",
sulus,noun,shoe,
sulus ekbe',noun,"shoe maker, cobbler",
sulus estdallaktce',noun,shoestring,
sulus' tcáha',noun,"boot, shoe with high heels",
suhpakáleh,verb,"bright, to shine (but not brightly), glow (of a face, etc)",intransitive
sũse',noun,"bug (worm, spider, insect, etc)",
sute',noun,"pot, pan",
sutek,noun,sky,
sutúkatceh,verb,"to be thumping several times (like something heavy in a box, or a basketball)",transitive
tcaffah,verb,num. 1/one (also tcaffa),intransitive
tcaffetce',noun,"driver, operator",
tcaffetceh,verb,"to send (a person, an animal) off, drive off, make leave, cause to flee, banish; to operate (a machine, car, etc.), drive",transitive
tcáhah,verb,"high, tall
to be tall; to be steep; to be high (of a voice or sound)",stative
tcáhatceh,verb,"to raise (a car, etc.), elevate, heighten, make (the voice) go higher or louder",transitive
tcahe',noun,hoe,
Tcahta',noun,Choctaw,
Tcahta' alektce',noun,Choctaw medicine man or woman,
Tcahta' alektce' emukhẽs,noun,Choctaw medicine,
Tcahta' anũpa',noun,Choctaw language,
Tcahta' Úkula',noun,Choctaw Nation,
tcákala',noun,blackberry,
tcákala' ape',noun,blackberry bush,
tcákala' walakse',noun,blackberry dumplings,
tcakáleh,verb,to be pregnant (older term),stative
tcakk^áleh,verb,num. nine,intransitive
tcaktcak,noun,common type of small speckled woodpecker with a red head (smaller than bakbak),
tcalãkah,verb,"to scream (of a person), squeal (of a pig, etc.)",intransitive
tcalakbeh,verb,"to be rough, dry, stiff (of leather, etc.); to be sticky (of a table, etc.)",stative
Tcalakke',noun,Cherokee (also Tcalahke),
tcalãtak,noun,a small red-headed woodpecker,
tcalãwa',noun,Eastern fence lizard,
tcãleh,verb,"to chop (wood), peck (of a bird)",transitive
tcanáha',noun,wheel,
tcanáhah,verb,to be coiled,stative
tcanalleh,verb,"to roll (of a wheel, etc.)",intransitive
tcanalletceh,verb,"to roll (a wheel, tire, etc.)",transitive
tcanása',noun,"water moccasin, cottonmouth",
tcanassek,noun,wasp,
Tcannuále',noun,n. January,
tcãpuleh,verb,"to be sweet, to be delicious; to taste good, be tasty",stative
tcãpulétceh,verb,to sweeten (something),transitive
tcãsah,verb,"to be shrill, sharp, piercing (of a panther's cry, etc.), hiss (like a rattlesnake)",intransitive
tcassap,noun,locust or cicada,
tcasúhah,verb,"to rattle, jingle (as of coins or a chain)",intransitive
tcasúhatceh,verb,"to make a rattling nouse (as of a chain), jingle (as of coins)",transitive
tcãtcuba',noun,alligator,
tcãwah,verb,to rumble (of the stomach),intransitive
tcãyah,verb,"to be chopped (of wood, etc.)",stative
Tcehúa',noun,"God, Jehovah",
Tcekassa',noun,Chickasaw,
tcekkẽhah,verb,"to jab, poke (something)",transitive
tceksanáleh,verb,to hang (the head) to one side,intransitive
tcektcek,noun,wren,
tcektcekeh,verb,"speckled (of a bird), freckled
to be speckled",stative
tcelakwa',noun,"small pox, chicken pox",
tcéleh,verb,"to give birth (of an animal, etc.), bear, lay (an egg or eggs, as a bird or snake);
to draw interest",transitive
tcelẽkah,verb,"to make a high'pitched yell, shriek, or scream",intransitive
tceleswa',noun,measles,
tcelétah,verb,"to be ardent, animated, zealous",stative
tcelúfah,verb,"to fall off, drop off (of leaves, nuts, etc)",intransitive
tceluhkah,verb,to shell (corn),transitive
tceluk,noun,hole; den,
tcemmeh,verb,pro. be yours,stative
tcenãfula',noun,black haw (an herbal remedy) (also tcenãfela),
tceniffeh,verb,to pinch (someone),transitive
tcepẽtah,verb," very small, tiny, fine","stative, plural"
tcesa',noun,post oak,
tcesakku',noun,brush arbor (also tcesãkku),
tcesbah,verb,"to be doubtful, uncertain: perhaps, possibly",stative
tcesbeh,verb,"to extend, to stretch",intransitive
tcesbetceh,verb,"to extend, to stretch",transitive
tcesekta',noun,red oak,
tcesémuah,verb,to stretch (the limbs),"intransitive, plural"
tcesémuah,verb,"to stretch (the arms, limbs, etc)","intransitive, plural"
tcesémuh,verb,"to stretch (a limb, body)","intransitive, singular"
tcesémúheleh,verb,to stretch,"transitive, plural"
tcesémutceh,verb,"to extend, cause to stretch","transitive, singular"
tceskelek,noun,blackjack oak,
tcesnu',noun,pro. your,
tcẽtces',noun,bed bug,
tcetuh,verb,"big, large, great, huge (of one)",stative
Tcetúkaka',noun,Lord,
tcetúleh,verb,"to be loud (of a piano, singing, etc.)",stative
tcetúletceh,verb,"to enlarge (something), make bigger, dilate, extend, make louder",transitive
tcéyah,verb,(two) to sit down,intransitive
Tcũ',noun,June,
tcuáhala',noun,cedar,
tcubúhatceh,verb,"to roar (as of a waterfall, train, etc.)",intransitive
tcufak,noun,"sharp tool: fork, nail, ice pick, awl, etc",
tcufak estẽpa',noun,"fork (for eating), table fork",
tcufak estpeha',noun,pitchfork,
tcufak use',noun,needle (also tcufak use nán est atcunle),
tcufak use' asámúhele',noun,pin cushion,
tcufak use' naskubu' ã^sa',noun,pin,
tcúheme,verb,"slghtly (do an action), (being) a little, somewhat","transitive, object takes dative"
tcukaffeh,verb,to pluck up by the root,"transitive, singular"
tcukáni',noun,fly (the insect),
tcukáni' estabe',noun,fly swatter,
tcukáni' use',noun,maggot (derived from tcukáni use),
tcũkas,noun,heart,
tcũkas apa',noun,"misquito larve, wriggler (also tcũkas tahle)",
tcũkas tcãpule',noun,sweetheart (a slang translation from English),
tcukbe',noun,corner,
tcukbekátceh,verb,"to make a corner (on a basket), corner (a chicken, etc.)",transitive
tcũke',noun,purple martin,
tcúkeleh,verb,"to pluck (two or more weeds, etc.) by the root, pull up","transitive, plural"
tcukfe',noun,rabbit,
tcukfe' aksubes faláya',noun,jackrabbit,
tcukfe' alhpúba',noun,sheep,
tcukfe' alhpúba' apésatce',noun,shepherd,
tcukfe' alhpúba' ése',noun,wool,
tcukfe' alhpúba' use',noun,lamb,
tcukfe' ése',noun,wool,
tcukfe' luma',noun,cottontail rabbit,
tcukfe' nipe',noun,rabbit meat,
tcukfe' sukbu',noun,type of plant,
tcukfe' uke' áyása',noun,swamp rabbit,
tcukfekúah,verb,to hiccup,intransitive
tcukfulúhah,verb,to be dizzy,stative
tcukka',noun,"house, home, building",
tcukka' ábaska',noun,casino (also abuha abaska),
tcukka' abayyatcet ã^ya',noun,"vagabond, hobo, homeless person",
tcukka' ádaláya',noun,place where a house sits: foundation of a house,
tcukka' apãta',noun,neighbor,
tcukka' apesseya',noun,porch surrounding a house (also tcukka apaseya),
tcukka' ása',noun,"those in a home, a household",
tcukka' ekbe',noun,carpenter,
tcukka' ẽpúta',noun,landlord,
tcukka' ettabána',noun,"log cabin, log house",
tcukka' lukũle',noun,"neighborhood, community, settlement (also tcukka lukule)",
tcukka' pákana',noun,"housetop, top of a house",
tcukka' púta',noun,"tenant, renter",
tcukka' tcaffa',noun,"family, household;
spouse",
tcukka' tcetu',noun,"building, big house",
tcukka' úlumu',noun,roof of the house,
tcukkalessa',noun,abandoned house,
tcukkka' abayya',noun,"vagabond, vagrant, homeless person",
tcukkuah,verb,"(one) to enter, go in (also tcukuwa)",transitive
tcukpalãtak,noun,"tree frog, tree toad (older var. atcukpalãtak)",
tcuktcu',noun,maple,
tcuktculeh,verb,to tickle (someone),transitive
tcukuspa',noun,gossip,
tcukuspaleh,verb,"to gossip about, slander, accuse",transitive
tcula',noun,fox,
tcula' use',noun,"baby fox, kit",
Tculay,noun,July,
tculhaktuh,verb,"(a tree, road, etc.) is forked, cloven (also tculaktu)",stative
tculhkã',noun,spider,
tculhkã' tcetu',noun,tarantula,
tculúsah,verb,"to be quiet, calm, to subside, moderate (also tcelúsa)",intransitive
tcunnah,verb,"skinny, thin (of a person or animal), lean, poor
to be skinny, lean, poor",stative
tcũpah,verb,to buy (something),transitive
tcupelhlhak,noun,chimney swallow,
tcũsa',noun,sparrow,
tcussak,noun,"nape, back of the neck",Class II possession
tcussak ése',noun,mane,
ũ^ktcah,verb,to be awake,"intransitive, N grade"
úah,verb,to call out to (someone),transitive
ũah,verb,"to smell, sniff (food, etc.)",transitive
uatta',noun,"hunter,",
uattah,verb,to hunt,transitive
ũba',noun,rain,
ũbah,verb,to rain,intransitive
ubak,noun,something castrated/neutered,
ubátceh,verb,"to copy, imitate (someone)",transitive
ubeh,verb,"boiled whole (of eggs, potatoes, etc.)",stative
ubétceh,verb,"to steam (stale biscuits), make it steam (as in a sauna)",transitive
ũdaláya',noun,"what something rests on, base, foundation",
ũdúkuluh,verb,seven,stative
ũdutctcé^nuh,verb,eight,stative
uétah,verb,to vomit,intransitive
ufahyah,verb,"to be bashful, shy, embarassed, ashamed",stative
ufahyaleh,verb,"to shame (someone), degrade",transitive
ufahyatceh,verb,to make (someone) embarassed or ashamed,transitive
ufalleh,verb,"to hatch (of a chick, etc.)",intransitive
ufãteh,verb,"to grow up (of animals, humans), increase in stature",stative
ufãtetceh,verb,"to rear, raise (a child or animal)",transitive
ufe',noun,dog,
ufe' aksubes falaya',noun,"dog with long ears, a hound dog",
ufe' alhtákala',noun,"stray dog, a dog that's lost its owner",
ufe' nuksúpa',noun,wild dog,
ufe' ubak,noun,neutered dog,
uffu',noun,sprout,
uffuh,verb,"to grow (of a plant), to sprout",intransitive
uffutceh,verb,to cause (a plant) to grow,transitive
ufúbeh,verb,"deep, profound
to be deep",stative
ufũlu',noun,screech owl,
ufũsek,noun,puppy,
úhemeh,verb,"to be like (something), to resemble",transitive
úhemétceh,verb,"to make it like (something), to cause it to resemble (something)",transitive
uhpeh,verb,"to bury (a body, abone, etc.)",transitive
uhsua',noun,urine,
uhtcaffu' tcetu',noun,"famine, starvation",
Uhtcaffu' Tcetu',noun,Great Depression,
uhtcaffuh,verb,to be hungry,stative
ukbusleh,verb,to wring out,transitive
uke',noun,water,
uke' ábetcéle',noun,"place where water pours from, spigot, faucet, spout",
uke' alektce',noun,sulfur water (medicinal),
uke' áyesku',noun,water fountain,
uke' dable',noun,dam,
uke' daláya',noun,"body of water, lake, pond, puddle",
uke' kallu',noun,hard water,
uke' lapáleka',noun,"shore, bank (of water)",
uke' letéha',noun,dirty water,
uke' luak,noun,whiskey,
uke' mũhele',noun,South,
uke' pãke' (uktce awasku),noun,wine,
uke' pet afúhúpa',noun,waterfall,
uke' tcetu',noun,"flood, high water",
uke' ũba',noun,rain water,
uke' yanalle',noun,"flowing water, running water",
úkeleh,verb,"to catch (a fish, ball, etc.), trap, grasp, grab;
to rape (someone)",transitive
úkelétceh,verb,to make (someone or something) catch,transitive
ukémeh,verb,to wash the face,transitive
úkemeh,verb,"to burn, sear, scald (something)",transitive
úkeni',noun,aunt,
uketceh,verb,"to put something in water, drop in water, to can/pickle",transitive
ukfa',noun,"valley, ravine",
ukfeya',noun,"diarrhea,",
ukfeyah,verb,to have diarrhea,stative
ukfuátah,verb,"to be across (a bed), crosswise, laid across",stative
ukfuátaleh,verb,"to lay (something) across or crosswise, to cross",transitive
ukfulus,noun,"mussel, clam",
ukhata',noun,"gulf, bay, lake, sea",
ukhata' ẽdannap,noun,overseas,
ukhata' tcetu',noun,"sea, ocean",
ukhena',noun,"where water flows, waterway, riverbed",
ukhẽs,noun,medicine,
ukhesa',noun,door,
ukhesa' use',noun,window,
uklhawẽleh,verb,"to be streaked, smeared",stative
uklhebéleh,verb,to have the eyes wide open,stative
uklhelahpe',noun,dusk,
uklheleh,verb,to get dark,intransitive
uklhelékah,verb,"to be dark (of a room, at night), lacking light",stative
ukpalále',noun,"bobber, float",
ukpaláleh,verb,"to float, drift",intransitive
ukpanih,verb,"to destroy, wreck (something), break (a tool, etc), ruin, hurt, contaminate, corrupt, exterminate, waste, villify, mutilate",transitive
ukpuluh,verb,"mean, bad (of a person), wicked, broken (of a car, etc), spoiled (of food), foul; to break, be broken, broken down, wrecked, to be spoiled, foul, to be mean, bad wicked, to be ugly",stative
uksak,noun,hickory nut,
uksak ahe',noun,walnut,
uksak ape',noun,hickory tree (also ussape),
uksak fala',noun,pecan nut,
uksak uktce',noun,hickory nut juice,
uksak ulhkumu',noun,hickory nut soup,
uksemmetce',noun,"mist,",
uksemmetceh,verb,"to mist, be misty, sprinkle, drizzle",intransitive
uksenilleh,verb,"to swim (of a person, fish, duck, etc)",intransitive
uksetcãleh,verb,"to be see-through, thin, loosely-woven (of a screen, fabric)",stative
uksettah,verb, to shut; to close; to bar; to fasten; to block up; to embar,"transitive, singular"
ũksuh,verb,"to pass gas, have flatulence",intransitive
uktable',noun,"cut off or obstruction, sink stopper, pipe cap, etc.;",
uktableh,verb,"to block (someone), dam (a stream), cut off, obstruct, intercept, to stop water, breath, or air",transitive
uktak,noun,"prairie, meadow, valley",
uktanih,verb,"to appear in the distance, to be revealed, appear",intransitive
uktanítceh,verb,"to expose (something), make something known, show, reveal, explain, clarify",transitive
uktcah,verb,"to awaken, to wake up",intransitive
uktcãk,noun,"cantaloupe, muskmelon",
uktcãk ulba',noun,cucumber,
uktcãkeh,verb,"raw, green (of wood), unripe",stative
uktcakkuh,verb,"blue, to be blue, bruised",stative
uktcaleh,verb,to wake (someone) up,transitive
uktcalétceh,verb,"to awaken (someone), to revive",transitive
uktcalhlha',noun,blackbird,
uktcãlus tcetu',noun,peacock,
uktcamáleh,verb,"green, to be green",stative
uktcawweh,verb,"watery, soupy",stative
uktcãya',noun,"life,",
uktcãyah,verb,"to be alive, living",stative
uktce',noun,juice,
uktceh,verb,"to plant (seeds, plants)",transitive
ukte',noun,"ice, icicle",
ukte' puse',noun,"fine snow, powdery snow",
uktubétceh,verb,"to be foggy, hazy, misty, to make it misty, foggy",intransitive
uktubúleh,verb,to be foggy,intransitive
uktusa',noun,"snow,",
uktusah,verb,to snow,intransitive
ũkuf,noun,persimmon,
úkula,noun,"people, nation, group, community, citizens",
úkula' use',noun,"race, tribe, nationality",
úkulubbeh,verb,"to dive in (water) repeatedly, go underwater","intransitive, plural"
úkulúbusle',noun,"diver, to immerse, submerge, plunge, soak (clothes, etc), go underwater",
úkulúsẽla',noun,"other races/tribes (Plains Indians, Mexicans etc)",
úkumútculeh,verb,to close the eyes,intransitive
ũkupah,verb,"to steal, rob, plunder (something)",transitive
ulá' emma',noun,"adthis way, this direction",
ulábeh,verb,"to lie, tell a lie",intransitive
ulábetce',noun,"person who corrects, mediator",
uláfah,verb,to defecate,intransitive
ulah,verb,"to sound, sing (of a bird), crow, chirp, ring (of a bell or phone), chime, play (of a radio, piano, etc)",intransitive
uláh,verb,"to be this way, this direction",stative
ulakseh,verb,to lick (something),transitive
ulãleh,verb,"nearby, close, to be near, close nearby",stative
ulátceh,verb,"to ring (a bell), play (a trumpet, etc)",transitive
ulbah,verb,"resembling, similar, looking like",stative
ulbala',noun,"p. behind, in back of",
ulbaláka',noun,p. directly behind,
ulbattuba',noun,"picture; a picture show, movie (sp. var. ulba tuba)",
ulbattuba' ẽtcũle',noun,someone who paints pictures: an artist (new word),
ulehta',noun,fence,
ulehta' batcáya',noun,fence line,
ulehta' ukhesa',noun,gate,
ulehta' use',noun,"small lot (for an animal or garden), small pen",
ulessu',noun,"something written or written on: a book, newspaper, note, letter, paper, etc.",
ulessu' alhpesa',noun,legal document,
ulessu' ápesa',noun,"school, school building",
ulessu' ápesa' tcetu',noun,"university, college",
ulessu' aselhha',noun,"written request, petition",
ulessu' baska',noun,playing cards,
ulessu' estẽtcũa',noun,"printer (the machine), copier",(new word)
ulessu' estkasútce',noun,toilet paper (also ulessu est kasúletce),
ulessu' ẽsuktca',noun,"pocket book, book bag, letter bag",
ulessu' ettebápesa',noun,"schoolmate, classmate",
ulessu' kasúfa',noun,divorce,
ulessu' lheláfa',noun,"slip of paper, ticket, certificate",
ulessu' lheláhale',noun,"scraps of paper, shredded paper",
ulessu' pesa',noun,"student, scholar, pupil",
ulessu' pesa' sále',noun,school bus,
ulessu' pesátce',noun,teacher,
ulessu' sále',noun,"mail carrier, postman",
Ulessu' Ulettúpa',noun,"the Holy Bible, Old and New Testaments; a sacred book or writings",
ulessuh,verb,"to be written, recorded, printed;",stative
ulessutce',noun,"secretary, clerk",
ulessutceh,verb,"to write, compose, draft",transitive
ulétubleh,verb,"to worship, praise",transitive
ulétubletceh,verb,"to set apart as sacred, bless, honor, hallow, exalt",transitive
ulétupah,verb,"holy, blessed, sacred, honored; rich, wealthy; expensive
to be holy, blessed, sacred, honored; to be rich, wealthy; to be expensive, precious, high (in cost or value)",stative
ulhkatceh,verb,"canned, soaked, steeped, pickled",stative
ulhpukúnah,verb,"to dream, see visions (also ulhpukunna)",intransitive
ulhpuni,noun,traditional dish made from boiled hominy,
ulhtcefu',noun,name,
ulhtcefuh,verb,to be named,stative
ulhte',noun,district,
ulhtena',noun,"something counted, a number; a date (in a month, etc.); a computation",
ullulhteh,verb,"to be started, be lit (of a fire)",stative
ulluppeh,verb,"to be buried (of a bone, body, etc.) (also ulluhpe)",stative
uluh,verb,"to put on (socks, shoes, etc.), pull on",transitive
úlumu',noun,"roof, a covering",
ulusmeh,verb,"to be burned, burnt",stative
ulúyah,verb,"to run through, drain (of spaghetti, etc.), leach, strain (also uleya)",intransitive
ulúyatceh,verb,"to drain, cause to drain, filter, strain, percolate",transitive
umah,verb,"red
to be red",stative
umakbeh,verb,to be purple,stative
umátceh,verb,"reddish
to make red, redden",transitive
umeh,verb,"spicy, bitter, sour, strong (of coffee), pungent, brackish, salty
to be spicy, hot, bitter, strong (of coffee), salty",stative
umeh,verb,"bitter, sour, acrid, tangy, tart",stative
ũmeláyah,verb,to have color,stative
umétceh,verb,"to make bitter, strong, or spicy",transitive
umétceh,verb,"to make bitter, to make sour",transitive
unáfa',noun,winter (older word),
unáfahpe',noun,"fall, autumn (older word)",
unah,verb,"(one) to arrive there, to have enough",intransitive
unih,verb,"to boil (potatoes, meat, etc.), stew, cook, brew",transitive
unna',noun,"dawn, daylight, morning light,",
unnah,verb,to dawn,intransitive
unnahẽle',noun,morning,
unnahẽle' ẽpa',noun,breakfast,
unnatceh,verb,"to occur until morning, do all night",transitive
unnih,verb,"boiled (of potatoes, etc.)",stative
unúlah,verb,"to twist (of tornado, etc.), spin",intransitive
unus,noun,"small grain, rice, oats, wheat, rye",
unus aséla',noun,"cooked grain, or much as in cornmeal mush or farina",
unus buta',noun,"wheat flour, rice flour",
unútceh,verb,"to inflict; to oblige; to pass; to reproach; to rest; to set, as a price; to wreak; to send on, place on",transitive
upa',noun,owl,
upákeh,verb,"far, distant; late (at night, etc.);
to be far (in space); to be late (at night, etc.); to be distant, remote (in time)",stative
upãsah,verb,"to chew (tobacco, gum), to chew its cud (of a cow)",transitive
upélah,verb,"to pass (something) out, distribute",transitive
ũpetammeh,verb,"to pass by, go past, lap over (like roof shingles)","transitive, singular"
uppeya',noun,"evening,",
uppeya' aka',noun,"toward evening, just before it gets dark",
uppeya' ẽpa',noun,"evening meal, dinner, supper",
